epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,45.5433,0.64646,0.86353,1.31361,0.92733,0,0.99007,1,0.99444,0.84945,0.99007,1,0.99444,0.90516,0.63236,0.67245,0.88075,0.88832,0,0.000660494,0.000660494,0.000660494
2,86.1797,0.62087,0.68064,0.80551,0.90774,0,0.98,0.99065,0.99472,0.86488,0.95213,0.96262,0.9792,0.83901,0.56389,1.18501,0.57029,0.86884,0,0.00130088,0.00130088,0.00130088
3,127.527,0.63531,0.69206,0.66495,0.9185,0,0.99881,0.99065,0.995,0.8904,0.99881,0.99065,0.995,0.91106,0.50399,0.52094,0.45277,0.83887,0,0.00191487,0.00191487,0.00191487
4,168.074,0.62425,0.65266,0.57018,0.91369,0,0.99959,1,0.995,0.91394,0.99959,1,0.995,0.9165,0.45423,0.49795,0.38403,0.82775,0,0.0018812,0.0018812,0.0018812
5,208.191,0.58646,0.6536,0.51961,0.90177,0,0.9992,1,0.995,0.91477,0.9992,1,0.995,0.93838,0.44404,0.47804,0.39952,0.82508,0,0.0018416,0.0018416,0.0018416
6,248.212,0.56607,0.61585,0.47117,0.89489,0,0.97252,0.99234,0.99472,0.91741,0.97252,0.99234,0.99472,0.91658,0.44128,0.51294,0.35028,0.8206,0,0.001802,0.001802,0.001802
7,288.78,0.54469,0.60823,0.44522,0.88719,0,0.99882,1,0.995,0.93795,0.99882,1,0.995,0.9257,0.36935,0.53252,0.30149,0.80664,0,0.0017624,0.0017624,0.0017624
8,329.118,0.54664,0.62568,0.43905,0.89247,0,0.99922,1,0.995,0.90078,0.99922,1,0.995,0.9517,0.4423,0.44799,0.30944,0.81777,0,0.0017228,0.0017228,0.0017228
9,369.816,0.51825,0.57528,0.40889,0.88377,0,0.99944,1,0.995,0.95029,0.99944,1,0.995,0.94821,0.34007,0.39806,0.27479,0.8076,0,0.0016832,0.0016832,0.0016832
10,411.304,0.49436,0.54141,0.38955,0.881,0,0.99929,0.98131,0.99446,0.93285,0.99929,0.98131,0.99446,0.94247,0.38417,0.64956,0.30232,0.81985,0,0.0016436,0.0016436,0.0016436
11,452.707,0.4809,0.57263,0.37856,0.87852,0,1,0.99943,0.995,0.94878,1,0.99943,0.995,0.95418,0.36988,0.41941,0.27876,0.80773,0,0.001604,0.001604,0.001604
12,494.291,0.4637,0.53751,0.36913,0.86706,0,0.99865,1,0.995,0.9525,0.99865,1,0.995,0.94699,0.31734,0.42954,0.2428,0.79496,0,0.0015644,0.0015644,0.0015644
13,535.045,0.46192,0.54519,0.36619,0.86949,0,0.99929,1,0.995,0.96146,0.99929,1,0.995,0.95577,0.31518,0.37033,0.2443,0.79363,0,0.0015248,0.0015248,0.0015248
14,575.85,0.43598,0.50192,0.34364,0.85997,0,0.99823,1,0.995,0.95456,0.99823,1,0.995,0.96558,0.33025,0.37938,0.25154,0.7997,0,0.0014852,0.0014852,0.0014852
15,615.921,0.43208,0.48993,0.34251,0.85833,0,0.99923,1,0.995,0.97186,0.99923,1,0.995,0.96157,0.27463,0.35485,0.23364,0.78885,0,0.0014456,0.0014456,0.0014456
16,656.632,0.43027,0.49317,0.33543,0.86675,0,0.99804,1,0.995,0.9634,0.99804,1,0.995,0.9668,0.31917,0.35876,0.23464,0.79529,0,0.001406,0.001406,0.001406
17,697.745,0.42851,0.49359,0.34452,0.86255,0,0.99944,1,0.995,0.96247,0.99944,1,0.995,0.9606,0.30668,0.37585,0.2378,0.79629,0,0.0013664,0.0013664,0.0013664
18,739.008,0.42211,0.48615,0.33304,0.86343,0,0.99916,1,0.995,0.97343,0.99916,1,0.995,0.96962,0.29184,0.35567,0.23598,0.79293,0,0.0013268,0.0013268,0.0013268
19,780.083,0.41027,0.46567,0.31602,0.85803,0,0.99931,1,0.995,0.9825,0.99931,1,0.995,0.97103,0.27933,0.32422,0.22017,0.78899,0,0.0012872,0.0012872,0.0012872
20,820.919,0.40296,0.46488,0.31658,0.85388,0,0.99938,1,0.995,0.97399,0.99938,1,0.995,0.97017,0.28357,0.33989,0.23055,0.78865,0,0.0012476,0.0012476,0.0012476
21,860.775,0.40195,0.49405,0.31544,0.86238,0,0.99906,1,0.995,0.97875,0.99906,1,0.995,0.97279,0.25631,0.37237,0.20591,0.78734,0,0.001208,0.001208,0.001208
22,901.412,0.39021,0.45652,0.30791,0.85243,0,0.99946,1,0.995,0.97712,0.99946,1,0.995,0.9724,0.27113,0.32784,0.21522,0.78876,0,0.0011684,0.0011684,0.0011684
23,941.581,0.39234,0.49054,0.30769,0.86051,0,0.99929,1,0.995,0.96773,0.99929,1,0.995,0.96093,0.26177,0.37103,0.21823,0.78891,0,0.0011288,0.0011288,0.0011288
24,982.242,0.38562,0.48385,0.30433,0.84988,0,0.99939,1,0.995,0.98597,0.99939,1,0.995,0.9782,0.24541,0.30396,0.20598,0.77901,0,0.0010892,0.0010892,0.0010892
25,1022.58,0.38452,0.4524,0.29463,0.85055,0,0.99948,1,0.995,0.98219,0.99948,1,0.995,0.9677,0.24292,0.32948,0.18669,0.78265,0,0.0010496,0.0010496,0.0010496
26,1063.04,0.37322,0.44631,0.28692,0.84728,0,0.99944,1,0.995,0.97698,0.99944,1,0.995,0.97482,0.24374,0.30027,0.19541,0.78541,0,0.00101,0.00101,0.00101
27,1103.45,0.36604,0.43191,0.28124,0.8491,0,0.9994,1,0.995,0.98654,0.9994,1,0.995,0.9777,0.23552,0.30714,0.18772,0.78162,0,0.0009704,0.0009704,0.0009704
28,1144.57,0.36373,0.43983,0.28234,0.8501,0,0.99903,1,0.995,0.97971,0.99903,1,0.995,0.98227,0.25087,0.28702,0.19932,0.78371,0,0.0009308,0.0009308,0.0009308
29,1186.09,0.3632,0.4301,0.27974,0.84428,0,0.99944,1,0.995,0.9867,0.99944,1,0.995,0.9756,0.22146,0.32512,0.18995,0.78104,0,0.0008912,0.0008912,0.0008912
30,1227.13,0.35965,0.43042,0.27059,0.84544,0,0.99945,1,0.995,0.98411,0.99945,1,0.995,0.98248,0.2229,0.28388,0.18462,0.78156,0,0.0008516,0.0008516,0.0008516
31,1268.32,0.35004,0.42497,0.26561,0.85013,0,0.99942,1,0.995,0.97972,0.99942,1,0.995,0.98054,0.23155,0.28358,0.18375,0.78088,0,0.000812,0.000812,0.000812
32,1311.99,0.35023,0.42921,0.26365,0.84787,0,0.99951,1,0.995,0.9892,0.99951,1,0.995,0.9829,0.2212,0.28707,0.17015,0.77606,0,0.0007724,0.0007724,0.0007724
33,1352.04,0.331,0.40795,0.25413,0.83947,0,0.99944,1,0.995,0.98678,0.99944,1,0.995,0.97404,0.22523,0.30249,0.16957,0.77938,0,0.0007328,0.0007328,0.0007328
34,1398.23,0.33664,0.40918,0.2559,0.83848,0,0.99919,1,0.995,0.98559,0.99919,1,0.995,0.98427,0.23274,0.28067,0.1828,0.77935,0,0.0006932,0.0006932,0.0006932
35,1438.92,0.33258,0.40227,0.25007,0.84107,0,0.99948,1,0.995,0.98465,0.99948,1,0.995,0.98015,0.225,0.27537,0.16247,0.77765,0,0.0006536,0.0006536,0.0006536
36,1479.44,0.32386,0.4029,0.24905,0.83896,0,0.99949,1,0.995,0.98837,0.99949,1,0.995,0.98807,0.19548,0.28193,0.16162,0.77604,0,0.000614,0.000614,0.000614
37,1520.09,0.32089,0.41603,0.24905,0.83847,0,0.99946,1,0.995,0.98864,0.99946,1,0.995,0.98142,0.20182,0.27851,0.15959,0.77642,0,0.0005744,0.0005744,0.0005744
38,1560.46,0.31765,0.40172,0.24057,0.83954,0,0.99947,1,0.995,0.98524,0.99947,1,0.995,0.98495,0.20536,0.28314,0.14727,0.77607,0,0.0005348,0.0005348,0.0005348
39,1600.69,0.31812,0.38985,0.23937,0.83984,0,0.99944,1,0.995,0.98372,0.99944,1,0.995,0.98018,0.22048,0.26188,0.16085,0.77666,0,0.0004952,0.0004952,0.0004952
40,1641.03,0.30937,0.39596,0.23218,0.83255,0,0.9995,1,0.995,0.98829,0.9995,1,0.995,0.988,0.19711,0.26653,0.15216,0.77483,0,0.0004556,0.0004556,0.0004556
41,1682.56,0.24009,0.31837,0.18604,0.78494,0,0.99904,1,0.995,0.98703,0.99904,1,0.995,0.98789,0.21082,0.25776,0.1692,0.77571,0,0.000416,0.000416,0.000416
42,1722.01,0.23848,0.30538,0.18296,0.78745,0,0.99949,1,0.995,0.99171,0.99949,1,0.995,0.98704,0.20328,0.26002,0.15538,0.77506,0,0.0003764,0.0003764,0.0003764
43,1758.9,0.23376,0.3013,0.18248,0.7872,0,0.99949,1,0.995,0.99203,0.99949,1,0.995,0.98633,0.20005,0.25929,0.15399,0.7744,0,0.0003368,0.0003368,0.0003368
44,1797.35,0.22635,0.29508,0.17508,0.78142,0,0.99949,1,0.995,0.98895,0.99949,1,0.995,0.98759,0.19147,0.25495,0.15377,0.77318,0,0.0002972,0.0002972,0.0002972
45,1835.41,0.22695,0.30156,0.17045,0.77964,0,0.99949,1,0.995,0.99119,0.99949,1,0.995,0.98936,0.19171,0.25546,0.14116,0.77283,0,0.0002576,0.0002576,0.0002576
46,1872.06,0.21857,0.29564,0.16661,0.78593,0,0.99949,1,0.995,0.99383,0.99949,1,0.995,0.98842,0.1827,0.2547,0.13567,0.7722,0,0.000218,0.000218,0.000218
47,1910.37,0.20801,0.29063,0.15621,0.78619,0,0.9995,1,0.995,0.99422,0.9995,1,0.995,0.98941,0.17262,0.25607,0.13036,0.77192,0,0.0001784,0.0001784,0.0001784
48,1948.51,0.20252,0.28674,0.15221,0.77775,0,0.99949,1,0.995,0.99193,0.99949,1,0.995,0.98606,0.17881,0.25195,0.13317,0.77115,0,0.0001388,0.0001388,0.0001388
49,1985.04,0.20196,0.29069,0.14946,0.78154,0,0.99949,1,0.995,0.99156,0.99949,1,0.995,0.98823,0.17217,0.2585,0.12826,0.77194,0,9.92e-05,9.92e-05,9.92e-05
50,2022.94,0.19437,0.2859,0.14409,0.77797,0,0.99949,1,0.995,0.99222,0.99949,1,0.995,0.9897,0.1633,0.25167,0.12157,0.77005,0,5.96e-05,5.96e-05,5.96e-05
